0	0
1	0
2	0
3	3
4	17
5	30
6	40
7	64
8	78
9	112
10	130
11	184
12	209
13	240
14	279
15	332
16	391
17	431
18	393
19	496
20	456
21	494
22	511
23	488
24	538
25	527
26	443
27	419
28	477
29	458
30	401
31	400
32	651
33	0
34	316
35	296
36	521
37	0
38	264
39	277
40	494
41	0
42	235
43	226
44	516
45	0
46	263
47	218
48	516
49	0
50	229
51	273
52	541
53	0
54	273
55	262
56	593
57	0
58	304
59	334
60	732
61	0
62	389
63	517
64	428
65	921
66	0
67	470
68	427
69	464
70	397
71	452
72	421
73	858
74	0
75	358
76	391
77	367
78	336
79	381
80	354
81	707
82	0
83	396
84	336
85	367
86	402
87	414
88	420
89	894
90	0
91	479
92	563
93	465
94	498
95	472
96	558
97	918
98	0
99	533
100	459
101	458
102	423
103	423
104	406
105	791
106	0
107	365
108	440
109	370
110	408
111	362
112	447
113	815
114	0
115	458
116	419
117	386
118	384
119	352
120	430
121	798
122	0
123	436
124	488
125	489
126	455
127	530
128	448
129	523
130	440
131	1040
132	0
133	511
134	522
135	512
136	499
137	498
138	435
139	384
140	443
141	378
142	323
143	342
144	299
145	265
146	259
147	534
148	0
149	268
150	232
151	234
152	265
153	239
154	198
155	203
156	214
157	195
158	211
159	202
160	163
161	159
162	134
163	275
164	0
165	133
166	116
167	136
168	106
169	130
170	108
171	117
172	126
173	123
174	129
175	115
176	153
177	148
178	118
179	316
180	0
181	171
182	158
183	169
184	221
185	202
186	185
187	182
188	177
189	185
190	164
191	172
192	209
193	177
194	148
195	388
196	0
197	193
198	198
199	190
200	204
201	226
202	197
203	226
204	232
205	196
206	163
207	171
208	156
209	114
210	79
211	176
212	0
213	74
214	79
215	39
216	38
217	49
218	26
219	34
220	23
221	23
222	15
223	16
224	14
225	19
226	5
227	6
228	0
229	1
230	2
231	2
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	1
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
